,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
432,0,1,2,-1,1,1,0
433,0,1,1,-1,0,3,1
434,0,0,1,-1,0,1,0
435,0,3,3,-1,2,3,0
436,0,2,2,-1,1,10,0
437,0,3,2,-1,1,7,0
438,0,1,1,-1,0,5,0
439,0,1,1,-1,0,3,0
440,2,0,1,-1,0,5,1
441,0,1,1,-1,0,6,0
442,2,0,2,-1,1,8,0
443,0,2,2,-2,0,4,0
444,0,1,4,-1,3,2,0
445,0,1,1,-1,0,5,0
446,0,0,1,-1,0,6,0
447,0,2,1,-1,0,4,0
448,0,2,3,-1,2,8,0
449,1,0,3,-1,2,12,0
450,0,0,2,-1,1,3,0
451,1,1,2,-2,0,9,0
452,3,1,1,-1,0,6,0
453,2,1,1,-2,-1,7,0
454,3,3,2,-1,1,12,1
455,0,0,1,-1,0,9,0
456,0,2,1,-1,0,14,0
457,0,0,2,-1,1,9,0
458,0,1,1,-1,0,7,0
459,0,1,1,-1,0,6,0
460,1,0,3,-1,2,6,0
461,0,1,1,-1,0,6,1
462,0,1,1,-1,0,8,1
463,0,0,1,-1,0,2,0
464,1,1,1,-2,-1,7,0
465,0,2,1,-1,0,10,1
466,1,2,2,-2,0,11,1
467,0,0,2,-1,1,3,0
468,0,1,1,-1,0,5,0
469,0,0,1,-2,-1,6,1
470,0,0,2,-1,1,5,0
471,0,1,1,-3,-2,6,1
472,0,2,1,-2,-1,5,0
473,2,1,1,-1,0,8,0
474,0,2,2,-1,1,12,1
475,0,2,3,-1,2,2,0
476,1,3,1,-1,0,6,1
477,0,0,2,-1,1,6,0
478,1,3,2,-2,0,13,0
479,0,2,1,-2,-1,11,1
480,1,0,1,-1,0,4,1
481,0,0,1,-1,0,1,0
482,0,2,2,-1,1,7,1
483,2,3,1,-1,0,9,0
484,1,3,1,-1,0,5,0
485,0,0,1,-1,0,4,1
486,0,2,4,-1,3,11,1
487,0,1,1,-1,0,10,1
488,1,1,2,-2,0,10,1
489,1,1,1,-1,0,6,0
490,1,2,1,-1,0,4,1
491,0,2,2,-2,0,11,1
492,0,1,1,-1,0,2,0
493,0,2,1,-2,-1,11,0
494,0,1,1,-3,-2,5,0
495,1,1,1,-1,0,5,0
496,0,3,1,-1,0,4,1
497,1,4,2,-1,1,5,0
498,0,2,1,-1,0,10,0
499,1,2,1,-2,-1,14,1
500,0,1,2,-1,1,7,1
501,0,0,1,-1,0,1,0
502,1,1,1,-2,-1,9,0
503,0,2,1,-1,0,10,1
504,0,2,2,-4,-2,4,1
505,0,1,1,-2,-1,9,1
506,1,2,1,-3,-2,14,0
507,1,1,1,-1,0,3,0
508,0,1,2,-1,1,3,0
509,0,1,1,-1,0,4,1
510,1,4,3,-1,2,14,0
511,0,2,1,-1,0,3,0
512,1,0,1,-1,0,1,0
513,0,2,1,-2,-1,8,0
514,1,0,3,-1,2,6,0
515,2,4,1,-3,-2,6,0
516,0,1,1,-1,0,2,1
517,0,1,2,-1,1,11,0
518,2,0,1,-1,0,8,0
519,3,3,1,-1,0,6,0
520,1,2,1,-1,0,5,0
521,0,3,1,-1,0,8,0
522,1,1,1,-1,0,9,1
523,0,1,1,-1,0,1,0
524,1,2,2,-1,1,7,0
525,1,1,2,-1,1,7,0
