,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
317,2,2,2,-4,-2,10,1
318,0,1,1,-1,0,1,1
319,0,4,1,-1,0,9,1
320,0,2,2,-1,1,3,1
321,0,0,1,-1,0,10,1
322,1,1,1,-1,0,8,1
323,2,1,1,-1,0,8,1
324,1,2,1,-1,0,7,0
325,2,1,2,-1,1,8,1
326,1,1,1,-1,0,0,1
327,1,0,1,-1,0,2,1
328,0,0,3,-1,2,6,1
329,0,1,2,-1,1,8,1
330,0,1,1,-1,0,3,0
331,0,1,3,-1,2,11,0
332,1,1,3,-3,0,5,1
333,0,0,1,-2,-1,1,1
334,0,1,1,-1,0,7,1
335,2,3,1,-4,-3,9,0
336,1,2,2,-1,1,4,1
337,0,0,2,-1,1,1,1
338,2,4,3,-2,1,8,1
339,0,3,1,-3,-2,7,0
340,0,1,1,-1,0,2,1
341,0,6,2,-1,1,8,1
342,1,1,1,-3,-2,3,1
343,0,2,1,-1,0,6,0
344,1,0,1,-1,0,14,1
345,1,1,1,-1,0,11,0
346,0,0,3,-1,2,4,1
347,1,0,1,-1,0,1,1
348,0,2,4,-1,3,7,1
349,0,1,1,-1,0,2,1
350,1,0,1,-1,0,1,1
351,1,1,1,-1,0,10,0
352,1,1,1,-1,0,2,1
353,0,0,1,-1,0,2,0
354,0,1,1,-1,0,6,1
355,1,2,1,-1,0,10,0
356,0,2,1,-4,-3,7,0
357,0,1,1,-1,0,2,0
358,0,3,2,-1,1,11,0
359,0,1,2,-1,1,3,1
360,1,1,1,-1,0,1,1
361,0,0,1,-1,0,0,1
362,2,4,2,-1,1,7,0
363,1,0,2,-1,1,10,1
364,1,3,1,-1,0,11,1
365,1,3,2,-1,1,7,1
366,0,2,1,-1,0,8,1
367,4,3,1,-1,0,9,1
368,0,1,1,-3,-2,5,1
369,0,2,3,-1,2,11,1
370,0,3,4,-1,3,7,1
371,2,2,2,-2,0,7,1
372,1,3,2,-1,1,8,1
373,0,0,1,-1,0,2,1
374,2,3,1,-2,-1,11,1
375,0,1,1,-1,0,3,1
376,0,1,2,-1,1,2,1
377,0,1,1,-1,0,3,1
378,0,4,1,-1,0,9,0
379,1,1,2,-1,1,10,1
380,0,2,3,-1,2,5,1
381,0,1,1,-1,0,3,1
382,3,0,1,-1,0,6,1
383,0,0,1,-1,0,1,1
384,2,0,2,-1,1,10,0
385,0,1,2,-1,1,3,1
386,0,1,2,-1,1,3,1
387,1,0,2,-1,1,7,1
388,0,0,1,-1,0,6,1
389,1,0,3,-1,2,1,1
390,0,0,2,-1,1,9,1
391,0,0,3,-1,2,4,0
392,0,0,1,-1,0,2,1
393,1,2,1,-1,0,8,1
394,0,3,4,-1,3,4,1
395,0,1,1,-1,0,3,1
396,0,2,3,-1,2,3,1
397,0,0,1,-1,0,1,1
398,3,0,1,-1,0,9,1
399,1,1,2,-1,1,9,1
400,0,3,1,-2,-1,3,1
401,0,0,1,-1,0,2,1
402,1,2,1,-1,0,8,1
403,0,2,1,-1,0,8,1
404,0,0,2,-1,1,12,0
