,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
362,0,0,2,-1,1,4,0
363,0,1,2,-1,1,12,0
364,0,1,2,-1,1,6,0
365,2,3,2,-1,1,13,1
366,1,3,1,-1,0,10,1
367,1,4,1,-2,-1,11,1
368,0,1,2,-1,1,9,0
369,0,0,2,-1,1,5,0
370,1,0,1,-1,0,4,0
371,0,1,1,-1,0,10,0
372,1,1,2,-2,0,10,1
373,3,0,2,-1,1,7,0
374,1,2,1,-1,0,8,1
375,0,2,1,-3,-2,2,0
376,3,0,1,-1,0,9,0
377,0,3,3,-1,2,11,0
378,2,4,3,-1,2,11,1
379,0,1,1,-1,0,0,0
380,0,1,1,-1,0,2,0
381,1,4,1,-1,0,11,1
382,1,5,1,-1,0,12,1
383,0,1,2,-2,0,7,0
384,1,1,2,-1,1,7,0
385,0,1,1,-1,0,4,0
386,0,3,1,-2,-1,9,1
387,1,3,2,-1,1,8,0
388,0,1,1,-1,0,3,0
389,1,1,3,-1,2,10,0
390,0,0,3,-1,2,1,0
391,0,0,1,-1,0,4,1
392,0,3,1,-3,-2,5,0
393,2,1,1,-2,-1,9,1
394,0,1,1,-3,-2,11,0
395,0,1,2,-1,1,5,0
396,1,2,1,-1,0,10,0
397,0,0,2,-1,1,3,0
398,1,3,1,-1,0,12,1
399,1,2,1,-1,0,9,0
400,1,1,2,-1,1,4,0
401,1,1,1,-1,0,9,0
402,1,3,2,-1,1,7,0
403,0,1,1,-1,0,3,0
404,0,3,1,-1,0,1,0
405,0,0,1,-1,0,3,1
406,0,1,1,-2,-1,5,0
407,2,1,2,-2,0,10,1
408,0,1,1,-1,0,13,0
409,1,1,1,-1,0,2,0
410,1,2,1,-1,0,7,0
411,0,1,1,-1,0,2,0
412,1,3,3,-1,2,11,1
413,0,2,2,-1,1,7,0
414,0,1,2,-1,1,1,0
415,0,3,1,-2,-1,4,0
416,2,3,1,-1,0,7,0
417,0,3,1,-1,0,7,0
418,0,3,2,-2,0,11,0
419,0,0,2,-1,1,8,1
420,0,0,3,-1,2,3,0
421,0,2,1,-2,-1,8,1
422,0,2,2,-1,1,9,0
423,0,1,2,-1,1,1,0
424,0,3,1,-1,0,13,0
425,1,1,1,-1,0,4,0
426,0,4,4,-1,3,11,1
427,1,2,1,-1,0,12,1
428,1,3,1,-1,0,11,0
429,0,2,1,-1,0,2,0
430,1,2,2,-1,1,11,1
431,2,1,1,-2,-1,8,0
432,1,3,2,-1,1,11,0
433,1,3,1,-1,0,9,0
434,0,2,3,-1,2,13,1
435,1,4,3,-1,2,12,0
436,2,3,2,-2,0,13,1
437,0,0,2,-1,1,3,1
438,0,1,2,-1,1,2,0
439,0,1,1,-1,0,6,0
440,1,0,1,-3,-2,10,1
441,0,0,1,-1,0,0,0
442,1,0,3,-1,2,3,0
443,5,2,1,-3,-2,4,0
444,1,2,1,-1,0,14,1
445,0,1,3,-3,0,13,0
446,1,2,2,-2,0,7,1
447,0,3,1,-2,-1,8,1
448,0,2,2,-1,1,2,0
449,2,3,2,-1,1,9,0
