,n_tense_past,n_tense_pres,sentiment_pos,sentiment_neg,sentiment_single,processed_tweet_length,result
392,2,2,1,-1,0,5,0
393,1,4,1,-1,0,10,1
394,3,2,2,-1,1,11,1
395,0,0,1,-1,0,4,1
396,1,1,1,-1,0,3,1
397,0,4,2,-1,1,7,0
398,0,1,2,-1,1,1,1
399,0,3,2,-1,1,6,1
400,1,0,4,-1,3,7,1
401,1,0,1,-2,-1,10,0
402,0,0,2,-1,1,2,1
403,1,1,1,-2,-1,6,1
404,1,0,1,-1,0,3,1
405,0,3,1,-1,0,6,1
406,0,1,1,-1,0,8,1
407,1,0,2,-1,1,5,0
408,0,3,2,-1,1,8,1
409,2,1,1,-1,0,8,1
410,0,1,1,-1,0,4,1
411,0,1,1,-1,0,7,1
412,0,4,1,-1,0,7,1
413,0,1,1,-1,0,3,1
414,0,1,1,-1,0,9,1
415,1,0,1,-1,0,2,1
416,0,1,3,-1,2,1,1
417,0,0,1,-1,0,1,1
418,1,4,1,-3,-2,8,1
419,0,1,2,-3,-1,8,0
420,0,3,1,-3,-2,9,0
421,0,3,2,-1,1,13,1
422,0,1,1,-1,0,1,1
423,1,1,2,-1,1,8,0
424,0,3,1,-1,0,8,0
425,2,0,2,-1,1,8,1
426,0,2,2,-1,1,4,0
427,0,3,2,-1,1,8,1
428,0,3,2,-1,1,8,0
429,2,0,1,-1,0,3,1
430,0,2,1,-2,-1,11,1
431,1,1,2,-1,1,12,0
432,1,2,1,-1,0,10,0
433,0,0,2,-1,1,7,1
434,0,1,1,-1,0,6,1
435,1,2,3,-1,2,13,1
436,1,0,2,-3,-1,8,0
437,0,0,2,-1,1,5,1
438,0,2,3,-1,2,9,1
439,2,1,1,-1,0,9,1
440,0,4,1,-2,-1,5,0
441,1,1,2,-1,1,4,1
442,0,1,1,-3,-2,3,1
443,1,1,1,-1,0,2,1
444,1,2,1,-1,0,9,1
445,2,1,1,-1,0,8,0
446,0,2,2,-1,1,11,0
447,0,0,1,-1,0,0,1
448,1,1,1,-1,0,10,1
449,0,1,2,-1,1,4,1
